date,open,high,low,close,volume,ma5,volume_ma5,volatility_range_5d,volatility_range_20d,volume_ratio_5d,ma5_acceleration,close_acceleration,volume_ratio_5d_acceleration,up_days_20d,gap_up_ratio_20d
2019-07-12,5209.295,5229.841,5173.052,5219.188,84877354,5228.9678,95011942.0,0.0182247219604987,0.0146216806562036,0.8933335348518611,-1.4153999999998632,21.036000000000055,-0.0813593073868934,0.5,0.45
2019-07-15,5203.576,5289.011,5140.804,5273.814,103285136,5234.877399999999,90971540.2,0.0166659005481382,0.0155243483187094,1.1353565716588805,46.92199999999866,41.83600000000024,0.2604907985694314,0.5,0.45
2019-07-16,5264.646,5289.01,5254.622,5285.229,88246972,5239.854600000001,90444300.0,0.0154348432141826,0.0152884961853764,0.9757051798731374,-0.9323999999978696,-43.21100000000024,-0.401674428592762,0.5,0.45
2019-07-17,5282.562,5312.706,5269.244,5289.424,98706416,5254.810600000001,92788250.4,0.014223774909726,0.0151231996844029,1.0637814117033937,9.978799999998955,-7.220000000000255,0.2477276236159991,0.5,0.5
2019-07-18,5265.366,5265.366,5194.601,5194.601,96554680,5252.4512,94334111.6,0.0134658500698558,0.0145809766422735,1.0235394001420797,-17.31540000000041,-99.01800000000004,-0.1283182433915702,0.45,0.45
2019-07-19,5205.727,5263.339,5205.701,5220.027,87706047,5252.619000000001,94899850.2,0.0134980288689035,0.0144588253146416,0.9241958424081896,2.527200000000448,120.2490000000007,-0.0591015461725761,0.5,0.4
2019-07-22,5222.063,5222.342,5067.098,5073.333,98799860,5212.522800000001,94002795.0,0.0139975428450531,0.0154970786844419,1.0510310890224062,-40.26400000000013,-172.1200000000008,0.2261788043481067,0.5,0.45
2019-07-23,5072.768,5131.097,5072.768,5131.097,74249778,5181.6964,91203356.2,0.0149698047169328,0.0150637447734804,0.8141123429402919,9.269799999999124,204.4580000000005,-0.3637539926963309,0.55,0.45
2019-07-24,5141.943,5219.149,5141.9,5194.829,91972065,5162.7774,89856486.0,0.016300522848673,0.0150521415658695,1.0235439765583534,11.907400000000962,5.967999999999847,0.4463503797001757,0.55,0.45
2019-07-25,5193.654,5220.125,5181.277,5211.085,85520728,5166.0742,87649695.6,0.0150669387408769,0.0149165641948087,0.9757104963636636,22.215799999999945,-47.47599999999966,-0.2572651138127514,0.6,0.45
2019-07-26,5201.559,5222.328,5188.241,5216.601,77863052,5165.388999999999,85681096.6,0.0141654639638141,0.0142985634329372,0.9087541486951513,-3.98200000000088,-10.740000000000691,-0.0191228674738224,0.6,0.45
2019-07-29,5217.929,5235.009,5197.021,5218.983,76414579,5194.518999999999,81204040.4,0.0095012261116183,0.0138510063676339,0.9410194200139824,29.815200000000917,-3.133999999999105,0.0992216189873436,0.6,0.45
2019-07-30,5217.066,5269.314,5216.813,5239.718,84370624,5216.2432,83228209.6,0.0092316400086384,0.0140019569951451,1.013726288304056,-7.405799999999544,18.35299999999916,0.0404415969712423,0.65,0.45
2019-07-31,5229.141,5229.141,5193.179,5200.094,82306375,5217.2962,81295071.6,0.0076406959807674,0.0138193533530811,1.0124399103180075,-20.67120000000068,-60.35899999999947,-0.0739932462761222,0.65,0.5
2019-08-01,5172.082,5201.48,5151.393,5173.228,80247390,5209.7248,80240404.0,0.0080861130122693,0.0136628325630486,1.0000870633702192,-8.624399999999696,12.75799999999981,-0.0110664689617396,0.6,0.5
2019-08-02,5073.998,5101.135,5047.394,5091.063,101405199,5184.617200000001,84948833.4,0.0088904364670031,0.0136946628150548,1.1937209134175113,-17.536199999999553,-55.29899999999998,0.2059866969950803,0.6,0.45
2019-08-05,5076.111,5124.382,5032.642,5032.642,91066502,5147.349,87879218.0,0.0110804726844237,0.0128112855473084,1.036268916275518,-12.160600000001068,23.743999999999687,-0.3510858471892852,0.55,0.5
2019-08-06,4940.869,4940.869,4781.875,4899.816,126619715,5079.3686,96329036.2,0.0155663045945603,0.0138006481335785,1.314450138763041,-30.71219999999994,-74.40499999999975,0.435633219629516,0.55,0.45
2019-08-07,4928.135,4941.957,4884.99,4885.44,89951946,5016.4378,97858150.4,0.0165152891329241,0.0136700707180226,0.9192075022092384,5.049600000000282,118.44999999999982,-0.6734238590413253,0.55,0.45
2019-08-08,4901.816,4936.829,4901.71,4923.327,83388258,4966.4576,98486324.0,0.0160055335198953,0.0131561088357243,0.8466988573966879,12.950600000000122,52.26300000000083,0.3227339917412518,0.55,0.45
2019-08-09,4948.516,4963.005,4861.125,4869.793,89534965,4922.203599999999,96112277.2,0.0180785051954917,0.0136581086238031,0.9315663680893412,5.726199999999153,-91.4210000000012,0.1573761555052039,0.5,0.5
